txn_id,customer_id,timestamp,merchant,amount_inr,txn_type,txn_country,card_issue_country,fraud_label
TXN000325,CUST0004,45152,flipkart pvt ltd,1539.47,upi,IN,IN,0
TXN000326,CUST0005,45306,Paytm,46880.33,UPI,IN,IN,0
TXN000327,CUST0021,2024-07-26T19:33:00,NETFLIX INC,5920.14,net_banking,GB,IN,1
TXN000328,CUST0037,2024-11-08T20:04:00,zomato,11791.76,net_banking,IN,IN,0
TXN000329,CUST0030,1724025600,PAYTM LIMITED,43956.5,NetBanking,GB,IN,0
TXN000330,CUST0057,2024-11-04T13:24:00,UBER INDIA,24598.12,UPI,IN,IN,0
TXN000331,CUST0045,45284,zomato,47914.13,UPI,IN,IN,0
TXN000332,CUST0003,45149,Amazon Ltd,29425.28,NetBanking,SG,IN,0
TXN000333,CUST0039,1720828800,Swiggy,20271.83,NetBanking,IN,IN,0
TXN000334,CUST0006,1709769600,PAYTM LIMITED,42474.01,Card,IN,IN,0
TXN000335,CUST0055,2024-05-02T15:30:00,Amazon Ltd,14330.51,net_banking,GB,IN,0
TXN000336,CUST0014,45136,zomato,30532.53,NetBanking,IN,IN,0
TXN000337,CUST0033,1714176000,big basket,8253.07,NetBanking,GB,IN,0
TXN000338,CUST0027,1718323200,NETFLIX INC,7968.01,card,IN,IN,0
TXN000339,CUST0029,1713916800,big basket,16363.87,card,AE,IN,0
TXN000340,CUST0032,45263,Uber,18848.61,UPI,IN,IN,0
TXN000341,CUST0058,45302,NETFLIX INC,4153.09,Card,IN,IN,0
TXN000342,CUST0012,45148,zomato,4113.92,upi,IN,IN,0
TXN000343,CUST0056,45291,Amazon Ltd,39811.75,card,GB,IN,0
TXN000344,CUST0027,1728950400,PAYTM LIMITED,434.41,UPI,GB,IN,0
TXN000345,CUST0023,1708646400,big basket,27023.12,card,IN,IN,0
TXN000346,CUST0005,2024-03-14T21:08:00,Amazon,24637.5,net_banking,IN,IN,0
TXN000347,CUST0037,1713139200,NETFLIX INC,4624.83,upi,IN,IN,0
TXN000348,CUST0043,1726358400,NETFLIX INC,48503.31,Card,GB,IN,0
TXN000349,CUST0040,45087,zomato,40406.84,upi,SG,IN,0
TXN000350,CUST0028,1707868800,PAYTM LIMITED,32402.01,upi,IN,IN,0
